"code","address","locality","polling.places","voters","county","district"
"30322 ","Wilbel Foundation Elem. School- Rock Hill","Rock Hill/ Gsa Road",5,2024,"Montserrado",6
"30325 ","Immanuel Christian Academy","S.d. Cooper Road",7,3000,"Montserrado",6
"30323 ","Carver Mission School","Opp. Elwa Compound",6,2999,"Montserrado",6
"30321 ","Mount Carmel Institute","Gsa Road",6,2726,"Montserrado",6
"30320 ","David Gueh Memorial Umc","Gsa Road",6,2507,"Montserrado",6
"30319 ","Broluco Christian School System","Kpelle Town/elwa",7,3001,"Montserrado",6
"30312 ","Solid Rock Christian School","Opp. Golden Key, King Gray Community",6,2583,"Montserrado",6
"30311 ","Cavalry Chapel Mission School","Borbor Town/ria Road",5,2396,"Montserrado",6
"30310 ","Helen Teah Memory Christian Institute","Borbor Town-thinker Village",7,3198,"Montserrado",6
"30309 ","Love A Child Ophanage Home","Baptist Seminary  Communty,kendejah",7,3011,"Montserrado",6
"30307 ","Kendejah High School/rehab","Rehab Community",5,2223,"Montserrado",6
"30308 ","Kendejah Community School","Old Kendejah Community/ Beach",5,2015,"Montserrado",6
"30313 ","Sis. Kathleen Mcquire Memorial Catholic High School","Rehab Cooper Farm",4,1533,"Montserrado",6
"30324 ","Seventh Day Adventist School","Elwa Junction",8,3530,"Montserrado",6
"06096 ","Samay Public School","Samay",2,995,"Bong",2
"06158 ","N.v. Massaquoi School","Gbarnga",7,2994,"Bong",2
"06157 ","Lelekpayea Community School","Lelekpayea Community",4,1665,"Bong",2
"06154 ","J.f. Clark Kindergaten School","Gbarnga",7,3000,"Bong",2
"06149 ","Tomue Palava Hut","Tomue",2,809,"Bong",2
"06128 ","Yeanawoun Palava Hut","Yeanawoun Town",3,1342,"Bong",2
"06127 ","Neyanyarlah Palava Hut","Neyanyarlah Town",2,517,"Bong",2
"06109 ","Tamay-ta Public School","Tammy_ta",2,621,"Bong",2
"06083 ","Bayata Public School","Bayata",2,840,"Bong",2
"06006 ","Beletanta Palava Hut","Beletanta",2,608,"Bong",2
"06110 ","Foloblah Palava Hut","Foloblah",2,509,"Bong",2
"06003 ","Blameyea Public School","Blameyea",2,756,"Bong",2
"06082 ","Leleh Public School","Leleh",2,763,"Bong",2
"06007 ","Tolomanai Palava Hut","Tolomanai",2,857,"Bong",2
"06021 ","Garwuquelleh Palava Hut","Garwuquelleh",3,1380,"Bong",2
"06045 ","Gbenequelleh Public School","Gbenequelleh",4,1507,"Bong",2
"06062 ","Jankpayah-ta Palava Hut","Jankpayah-ta",1,454,"Bong",2
"06063 ","Janyea Public School","Janyea",4,1791,"Bong",2
"06071 ","Kollieta-wola Public School","Kollieta-wola",2,670,"Bong",2
"06081 ","Mano Weansue Public School","Mano-weasue",1,466,"Bong",2
"30428 ","J.l. Gibson School","Gurley Street",3,1174,"Montserrado",7
