,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,14
,"Total Votes: ",,,336,,"Total Votes: ",,,312,,"Total Votes: ",,,177
"Precinct: 18026 ","Polling Place: ",2,,,"Precinct: 18027 ","Polling Place: ",1,,,"Precinct: 18027 ","Polling Place: ",2,,
"Juduken Jr. High School, Juduken ",,,,,"St. Barnabas School, Gbanken ",,,,,"St. Barnabas School, Gbanken",,,,
"Registered Voters: ",389,,,,"Registered Voters: ",388,,,,"Registered Voters: ",378,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,95,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,53,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,46
"WEAH, George Manneh (CDC) ",,,,89,"WEAH, George Manneh (CDC) ",,,,233,"WEAH, George Manneh (CDC) ",,,,217
,"Valid Votes: ",,,184,,"Valid Votes: ",,,286,,"Valid Votes: ",,,263
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,5
,"Total Votes: ",,,190,,"Total Votes: ",,,288,,"Total Votes: ",,,268
"Precinct: 18028 ","Polling Place: ",1,,,"Precinct: 18028 ","Polling Place: ",2,,,,,,,
"Zoloken Public School, Zoloken ",,,,,"Zoloken Public School, Zoloken",,,,,,,,,
"Registered Voters: ",346,,,,"Registered Voters: ",360,,,,,,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,,,,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes",,,,,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,23,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,40,,,,,
"WEAH, George Manneh (CDC) ",,,,267,"WEAH, George Manneh (CDC) ",,,,228,,,,,
,"Valid Votes: ",,,290,,"Valid Votes: ",,,268,,,,,
,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,8,,,,,
,"Total Votes: ",,,302,,"Total Votes: ",,,276,,,,,
