"Precinct: 33026 ","Polling Place: ",1,,,"Precinct: 33026 ","Polling Place: ",2,,,"Precinct: 33026 ","Polling Place: ",3,,
"Karnw ee Palava Hut, Karnw ee ",,,,,"Karnw ee Palava Hut, Karnw ee ",,,,,"Karnw ee Palava Hut, Karnw ee",,,,
"Registered Voters: ",485,,,,"Registered Voters: ",498,,,,"Registered Voters: ",486,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,300,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,151,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,127
"WEAH, George Manneh (CDC) ",,,,63,"WEAH, George Manneh (CDC) ",,,,71,"WEAH, George Manneh (CDC) ",,,,41
,"Valid Votes: ",,,363,,"Valid Votes: ",,,222,,"Valid Votes: ",,,168
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,14
,"Total Votes: ",,,368,,"Total Votes: ",,,234,,"Total Votes: ",,,182
"Precinct: 33027 ","Polling Place: ",1,,,"Precinct: 33027 ","Polling Place: ",2,,,"Precinct: 33027 ","Polling Place: ",3,,
"Kpallah Palava Hut, Kpallah ",,,,,"Kpallah Palava Hut, Kpallah ",,,,,"Kpallah Palava Hut, Kpallah",,,,
"Registered Voters: ",532,,,,"Registered Voters: ",545,,,,"Registered Voters: ",559,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,150,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,159,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,149
"WEAH, George Manneh (CDC) ",,,,34,"WEAH, George Manneh (CDC) ",,,,54,"WEAH, George Manneh (CDC) ",,,,45
,"Valid Votes: ",,,184,,"Valid Votes: ",,,213,,"Valid Votes: ",,,194
,"Invalid Votes: ",,,20,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,6
,"Total Votes: ",,,204,,"Total Votes: ",,,223,,"Total Votes: ",,,200
"Precinct: 33028 ","Polling Place: ",1,,,"Precinct: 33028 ","Polling Place: ",2,,,"Precinct: 33029 ","Polling Place: ",1,,
"Burtein Palava Hut, Burtein ",,,,,"Burtein Palava Hut, Burtein ",,,,,"Boe Bounglay Public School, Boe Bounglay",,,,
"Registered Voters: ",356,,,,"Registered Voters: ",351,,,,"Registered Voters: ",469,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,72,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,77,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,233
"WEAH, George Manneh (CDC) ",,,,55,"WEAH, George Manneh (CDC) ",,,,51,"WEAH, George Manneh (CDC) ",,,,15
,"Valid Votes: ",,,127,,"Valid Votes: ",,,128,,"Valid Votes: ",,,248
