"TIPOTEH, Togba-Nah  (APD) ","","","",41 ,"",Invalid Ballots: ,2,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",9 ,"",Valid Votes + Invalid Ballots: ,687,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",11,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",122,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",0,"","","","","","","","","",""
"",Valid Votes: ,"","",388,"","","","","","","","","",""
"",Invalid Votes: ,"","",3,"","","","","","","","","",""
"",Total Votes: ,"","",391,"","","","","","","","","",""
Precinct: 33004 ,Polling Place: ,2 ,"","","","","",Total: 519 ,Age 18-27: 37.6% ,Age 48-57: ,"","",10.2%,""
"Civil Compound, Saclepea, Nimba ","","","","","","","",Males: 52.0% Females: 48.0% ,Age 28-37: 25.8% Age 38-47: 14.6% ,Age 58-67: Age 68+: ,"","",4.0%7.7%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Nimba ,"","","Nimba, Electoral District 6","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",2 ,"BARTUAH, Benedict Zuah (UDA) ","",0 ,"KEHN, Presley Mehn (CDC) ","","","","","",148
"BRUMSKINE, Charles Walker (LP) ","","","",53 ,"DOGOLEA, Mary Siaway (RULP) ","",1 ,"KOLLAH, Wehyi Stephen (APD) ","","","","","",9
"CONNEH, Sekou Damate (PRODEM) ","","","",2 ,"DOKIE, Josephus Saye (LP) ","",4 ,"MANEH, David Saye (UP) ","","","","","",13
"DIVINE, SR., Samuel Raymond (Ind) ","","","",1 ,"DOLO, Saye-Taayor Adolphus (COTOL) ","",180 ,"MARTOR, J. Lynon (LP) ","","","","","",34
"FARHAT, David M. (FDP) ","","","",0 ,"JOHNSON, Prince Yormie (Ind) ","",135 ,"QUEEGLAY, David Wonle (NPP) ","","","","","",76
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"KOAH, Evans Vaye (Ind) ","",250 ,"TUAZAMA, SR., Paul Duo (COTOL) ","","","","","",42
