"Cheesemen hall, Virginia, Montserrado ",,,,,,,,"Males: 58.3% Females: 41.7% ","Age 28-37: 20.7% Age 38-47: 14.6% ","Age 58-67: Age 68+: ",,"3.6%3.9%",,
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Montserrado ",,"Montserrado, Electoral District 13",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,4,"BILITY, Losene F. (Ind) ",,14,"BAI, Etmonia Musu (LP) ",,,,,,10
"BRUMSKINE, Charles Walker (LP) ",,,,13,"BRENT, Hannah G. (CDC) ",,47,"BAYSAH, Karziel Coruboi (NRP) ",,,,,,4
"CONNEH, Sekou Damate (PRODEM) ",,,,3,"CAESAR, Ruth Gibson (Ind) ",,72,"CASSELL, SR., Shadrick B. (UP) ",,,,,,77
"DIVINE, SR., Samuel Raymond (Ind) ",,,,5,"FRANCIS, Josephine M. George (Ind) ",,47,"COOPER, I, Stephen Faithful (Ind) ",,,,,,24
"FARHAT, David M. (FDP) ",,,,0,"FREEMAN, Joyce Musu (CDC) ",,50,"DOLEA, John G. (NDPL) ",,,,,,3
"JALLAH, Armah Zolu (NPL) ",,,,1,"JACKITAY, Chemon Feson (ALCOP) ",,3,"LAMIN, Edward Musa (COTOL) ",,,,,,42
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,123,"JALLAH, Ola Walker (LP) ",,6,"LYNCH, Victoria  (CDC) ",,,,,,38
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KAMARA, Kadie Sannor (LP) ",,14,"NYEI, Sekou I. (ALCOP) ",,,,,,27
"KIEH, JR., George Klay (NDM) ",,,,2,"KROMAH, Amara M. (PRODEM) ",,5,"PARKER, SR., Julius Sylvester (NPP) ",,,,,,22
"KORTO, Joseph D. Z. (LERP) ",,,,0,"KUMEH, Charles Max (NDPL) ",,5,"PUNNI, Lucinda A. Eastman (Ind) ",,,,,,8
"KPOTO, Robert Momo (ULD) ",,,,0,"PAYNE, SR., Jessie S. (NPP) ",,10,"TAH, Christopher Moham (APD) ",,,,,,5
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"RICHARDSON, Nathaniel Reginald (COTOL) ",,22,"WADE, Wilfred Alvin (FAPL) ",,,,,,0
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,6,"SEAKOR, Daniel Success (FAPL) ",,2,,"Valid Votes: ",,,,,260
"MORLU, John Sembe (UDA) ",,,,0,"TARPEH, Wilson Kargeor (APD) ",,37,,"Invalid Votes: ",,,,,9
"REEVES, Alfred Garpee (NRP) ",,,,0,"TAYLOR, Bob D. (NPP) ",,12,,"Total Votes: ",,,,,269
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,14,"TRAVERS, Rudolph  (COTOL) ",,13,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,2,"UREY, Clemenceau Blayon (UP) ",,72,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,2,"WOHEEL, SR., Roland Kollie (UP) ",,47,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,0,,"Valid Votes: ",478,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,11,,"Invalid Ballots: ",3,,,,,,,
"WEAH, George Manneh (CDC) ",,,,80,,"Valid Votes + Invalid Ballots: ",481,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,3,,,,,,,,,,
,"Valid Votes: ",,,269,,,,,,,,,,
,"Invalid Votes: ",,,1,,,,,,,,,,
,"Total Votes: ",,,270,,,,,,,,,,
"Precinct: 30007 ","Polling Place: ",1,,,,,"Total: 463 ","Age 18-27: 47.1% ","Age 48-57: ",,"6.7%",,,
"Sarah barclay Sr High Sc, Virginia, Montserrado ",,,,,,,"Males: 45.4% Females: 54.6% ","Age 28-37: 28.7% Age 38-47: 13.4% ","Age 58-67: Age 68+: ",,"2.6%1.5%",,,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Montserrado ",,"Montserrado, Electoral District 13",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,1,"BILITY, Losene F. (Ind) ",,9,"BAI, Etmonia Musu (LP) ",,,,,,29,
"BRUMSKINE, Charles Walker (LP) ",,,31,"BRENT, Hannah G. (CDC) ",,112,"BAYSAH, Karziel Coruboi (NRP) ",,,,,,8,
"CONNEH, Sekou Damate (PRODEM) ",,,0,"CAESAR, Ruth Gibson (Ind) ",,31,"CASSELL, SR., Shadrick B. (UP) ",,,,,,39,
"DIVINE, SR., Samuel Raymond (Ind) ",,,1,"FRANCIS, Josephine M. George (Ind) ",,59,"COOPER, I, Stephen Faithful (Ind) ",,,,,,61,
"FARHAT, David M. (FDP) ",,,0,"FREEMAN, Joyce Musu (CDC) ",,135,"DOLEA, John G. (NDPL) ",,,,,,2,
"JALLAH, Armah Zolu (NPL) ",,,2,"JACKITAY, Chemon Feson (ALCOP) ",,5,"LAMIN, Edward Musa (COTOL) ",,,,,,21,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,107,"JALLAH, Ola Walker (LP) ",,20,"LYNCH, Victoria  (CDC) ",,,,,,103,
"KIADII, George Momodu (NATVIPOL) ",,,2,"KAMARA, Kadie Sannor (LP) ",,53,"NYEI, Sekou I. (ALCOP) ",,,,,,3,
"KIEH, JR., George Klay (NDM) ",,,0,"KROMAH, Amara M. (PRODEM) ",,16,"PARKER, SR., Julius Sylvester (NPP) ",,,,,,22,
"KORTO, Joseph D. Z. (LERP) ",,,0,"KUMEH, Charles Max (NDPL) ",,4,"PUNNI, Lucinda A. Eastman (Ind) ",,,,,,27,
"KPOTO, Robert Momo (ULD) ",,,0,"PAYNE, SR., Jessie S. (NPP) ",,26,"TAH, Christopher Moham (APD) ",,,,,,39,
"KROMAH, Alhaji G. V. (ALCOP) ",,,1,"RICHARDSON, Nathaniel Reginald (COTOL) ",,53,"WADE, Wilfred Alvin (FAPL) ",,,,,,1,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,8,"SEAKOR, Daniel Success (FAPL) ",,4,,"Valid Votes: ",,,,,355,
"MORLU, John Sembe (UDA) ",,,1,"TARPEH, Wilson Kargeor (APD) ",,50,,"Invalid Votes: ",,,,,21,
"REEVES, Alfred Garpee (NRP) ",,,0,"TAYLOR, Bob D. (NPP) ",,18,,"Total Votes: ",,,,,376,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,17,"TRAVERS, Rudolph  (COTOL) ",,14,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,8,"UREY, Clemenceau Blayon (UP) ",,63,,,,,,,,
