"Precinct: 09002 ","Polling Place: ",2,,,,,,"Total: 377 ","Age 18-27: 32.6% ","Age 48-57: ",,"9.0%",,
"palava hut, NEEGEEWEIN, Grand Bassa ",,,,,,,,"Males: 48.3% Females: 51.7% ","Age 28-37: 26.0% Age 38-47: 21.5% ","Age 58-67: Age 68+: ",,"6.4%4.5%",,
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Grand Bassa ",,"Grand Bassa, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,6,"DAVIS, William Bill Patrick (UP) ",,45,"GRAY, SR., Solomon Saynbarn (FAPL) ",,,,,,24
"BRUMSKINE, Charles Walker (LP) ",,,,174,"FINDLEY, Gbehzohngar Milton (Ind) ",,80,"GREENE, Al William (CDC) ",,,,,,18
"CONNEH, Sekou Damate (PRODEM) ",,,,2,"INNIS, SR., Nathaniel K. (LP) ",,117,"HILL, Trokon  (Ind) ",,,,,,130
"DIVINE, SR., Samuel Raymond (Ind) ",,,,3,"JOHNSON, Charles Jefferson (Ind) ",,40,"PAGE, SR., Samuel Dornaworlo (LP) ",,,,,,42
"FARHAT, David M. (FDP) ",,,,3,"LATHROBE, Joseph O. (NDPL) ",,22,"PASSAWE, Agathon Buelue (UP) ",,,,,,5
"JALLAH, Armah Zolu (NPL) ",,,,0,"MARSHALL, Julia Saturday (CDC) ",,11,"SMITH, Jackie Clipton (PRODEM) ",,,,,,5
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,14,"NATT, Ellen Janjay (NPP) ",,10,"SPILLER, Austine Wreemongar (COTOL) ",,,,,,7
"KIADII, George Momodu (NATVIPOL) ",,,,0,"ONUMAH, Nathan Alphonsus (FAPL) ",,3,"ZEHYOUE, Jerry Fineboy (NRP) ",,,,,,4
"KIEH, JR., George Klay (NDM) ",,,,1,"REEVES, Hilary Yhrakehmenn (LP) ",,30,,"Valid Votes: ",,,,,235
"KORTO, Joseph D. Z. (LERP) ",,,,0,"REEVES, Lee Pennalton (CDC) ",,13,,"Invalid Votes: ",,,,,2
"KPOTO, Robert Momo (ULD) ",,,,0,"ROBINSON, SR., Wesley Bonne (COTOL) ",,12,,"Total Votes: ",,,,,237
"KROMAH, Alhaji G. V. (ALCOP) ",,,,1,"VAH, Andrew Dehkpo (COTOL) ",,30,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,0,"WHITFIELD, JR., John F. (Ind) ",,39,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"WOLO, Matthew Alan (FAPL) ",,3,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,,"Valid Votes: ",455,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,4,,"Invalid Ballots: ",3,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes + Invalid Ballots: ",458,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,1,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,1,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,4,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,20,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,234,,,,,,,,,,
,"Invalid Votes: ",,,3,,,,,,,,,,
,"Total Votes: ",,,237,,,,,,,,,,
"Precinct: 09003 ","Polling Place: ",1,,,,,,"Total: 410 ","Age 18-27: 33.2% ","Age 48-57: ",,"11.7%",,
"palava hut, BOKAY'S TOWN, Grand Bassa ",,,,,,,,"Males: 57.8% Females: 42.2% ","Age 28-37: 24.4% Age 38-47: 15.6% ","Age 58-67: Age 68+: ",,"7.3%7.8%",,
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Grand Bassa ",,"Grand Bassa, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,0,"DAVIS, William Bill Patrick (UP) ",,11,"GRAY, SR., Solomon Saynbarn (FAPL) ",,,,,,25
"BRUMSKINE, Charles Walker (LP) ",,,,211,"FINDLEY, Gbehzohngar Milton (Ind) ",,72,"GREENE, Al William (CDC) ",,,,,,11
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"INNIS, SR., Nathaniel K. (LP) ",,76,"HILL, Trokon  (Ind) ",,,,,,91
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"JOHNSON, Charles Jefferson (Ind) ",,8,"PAGE, SR., Samuel Dornaworlo (LP) ",,,,,,46
"FARHAT, David M. (FDP) ",,,,8,"LATHROBE, Joseph O. (NDPL) ",,6,"PASSAWE, Agathon Buelue (UP) ",,,,,,3
"JALLAH, Armah Zolu (NPL) ",,,,0,"MARSHALL, Julia Saturday (CDC) ",,15,"SMITH, Jackie Clipton (PRODEM) ",,,,,,31
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,4,"NATT, Ellen Janjay (NPP) ",,10,"SPILLER, Austine Wreemongar (COTOL) ",,,,,,63
"KIADII, George Momodu (NATVIPOL) ",,,,0,"ONUMAH, Nathan Alphonsus (FAPL) ",,3,"ZEHYOUE, Jerry Fineboy (NRP) ",,,,,,10
"KIEH, JR., George Klay (NDM) ",,,,0,"REEVES, Hilary Yhrakehmenn (LP) ",,42,,"Valid Votes: ",,,,,280
"KORTO, Joseph D. Z. (LERP) ",,,,0,"REEVES, Lee Pennalton (CDC) ",,17,,"Invalid Votes: ",,,,,4
"KPOTO, Robert Momo (ULD) ",,,,0,"ROBINSON, SR., Wesley Bonne (COTOL) ",,155,,"Total Votes: ",,,,,284
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"VAH, Andrew Dehkpo (COTOL) ",,25,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,1,"WHITFIELD, JR., John F. (Ind) ",,101,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"WOLO, Matthew Alan (FAPL) ",,4,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,,"Valid Votes: ",545,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,0,,"Invalid Ballots: ",5,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes + Invalid Ballots: ",550,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,4,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,7,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,6,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,43,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,284,,,,,,,,,,
,"Invalid Votes: ",,,2,,,,,,,,,,
,"Total Votes: ",,,286,,,,,,,,,,
"Precinct: 09003 ","Polling Place: ",2,,,,,,"Total: 375 ","Age 18-27: 28.3% ","Age 48-57: ",,"9.6%",,
"palava hut, BOKAY'S TOWN, Grand Bassa ",,,,,,,,"Males: 58.9% Females: 41.1% ","Age 28-37: 31.7% Age 38-47: 16.5% ","Age 58-67: Age 68+: ",,"7.7%6.1%",,
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Grand Bassa ",,"Grand Bassa, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,1,"DAVIS, William Bill Patrick (UP) ",,13,"GRAY, SR., Solomon Saynbarn (FAPL) ",,,,,,26
"BRUMSKINE, Charles Walker (LP) ",,,,152,"FINDLEY, Gbehzohngar Milton (Ind) ",,95,"GREENE, Al William (CDC) ",,,,,,12
"CONNEH, Sekou Damate (PRODEM) ",,,,1,"INNIS, SR., Nathaniel K. (LP) ",,84,"HILL, Trokon  (Ind) ",,,,,,92
"DIVINE, SR., Samuel Raymond (Ind) ",,,,3,"JOHNSON, Charles Jefferson (Ind) ",,11,"PAGE, SR., Samuel Dornaworlo (LP) ",,,,,,49
"FARHAT, David M. (FDP) ",,,,11,"LATHROBE, Joseph O. (NDPL) ",,8,"PASSAWE, Agathon Buelue (UP) ",,,,,,6
"JALLAH, Armah Zolu (NPL) ",,,,0,"MARSHALL, Julia Saturday (CDC) ",,13,"SMITH, Jackie Clipton (PRODEM) ",,,,,,10
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,13,"NATT, Ellen Janjay (NPP) ",,23,"SPILLER, Austine Wreemongar (COTOL) ",,,,,,56
"KIADII, George Momodu (NATVIPOL) ",,,,0,"ONUMAH, Nathan Alphonsus (FAPL) ",,6,"ZEHYOUE, Jerry Fineboy (NRP) ",,,,,,7
"KIEH, JR., George Klay (NDM) ",,,,1,"REEVES, Hilary Yhrakehmenn (LP) ",,33,,"Valid Votes: ",,,,,258
"KORTO, Joseph D. Z. (LERP) ",,,,0,"REEVES, Lee Pennalton (CDC) ",,12,,"Invalid Votes: ",,,,,5
"KPOTO, Robert Momo (ULD) ",,,,0,"ROBINSON, SR., Wesley Bonne (COTOL) ",,111,,"Total Votes: ",,,,,263
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"VAH, Andrew Dehkpo (COTOL) ",,27,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,3,"WHITFIELD, JR., John F. (Ind) ",,65,,,,,,,
"MORLU, John Sembe (UDA) ",,,,1,"WOLO, Matthew Alan (FAPL) ",,5,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,,"Valid Votes: ",506,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,5,,"Invalid Ballots: ",2,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes + Invalid Ballots: ",508,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,7,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,2,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,3,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,55,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,258,,,,,,,,,,
,"Invalid Votes: ",,,6,,,,,,,,,,
,"Total Votes: ",,,264,,,,,,,,,,
"Precinct: 09004 ","Polling Place: ",1,,,,,,"Total: 277 ","Age 18-27: 32.1% ","Age 48-57: ",,"14.8%",,
"palava hut, QUEHZAH TOWN, Grand Bassa ",,,,,,,,"Males: 49.1% Females: 50.9% ","Age 28-37: 23.5% Age 38-47: 20.2% ","Age 58-67: Age 68+: ",,"5.4%4.0%",,
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Grand Bassa ",,"Grand Bassa, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,1,"DAVIS, William Bill Patrick (UP) ",,6,"GRAY, SR., Solomon Saynbarn (FAPL) ",,,,,,19
"BRUMSKINE, Charles Walker (LP) ",,,,154,"FINDLEY, Gbehzohngar Milton (Ind) ",,9,"GREENE, Al William (CDC) ",,,,,,8
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"INNIS, SR., Nathaniel K. (LP) ",,28,"HILL, Trokon  (Ind) ",,,,,,37
"DIVINE, SR., Samuel Raymond (Ind) ",,,,3,"JOHNSON, Charles Jefferson (Ind) ",,5,"PAGE, SR., Samuel Dornaworlo (LP) ",,,,,,20
"FARHAT, David M. (FDP) ",,,,1,"LATHROBE, Joseph O. (NDPL) ",,6,"PASSAWE, Agathon Buelue (UP) ",,,,,,4
"JALLAH, Armah Zolu (NPL) ",,,,1,"MARSHALL, Julia Saturday (CDC) ",,8,"SMITH, Jackie Clipton (PRODEM) ",,,,,,11
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,6,"NATT, Ellen Janjay (NPP) ",,10,"SPILLER, Austine Wreemongar (COTOL) ",,,,,,90
"KIADII, George Momodu (NATVIPOL) ",,,,1,"ONUMAH, Nathan Alphonsus (FAPL) ",,10,"ZEHYOUE, Jerry Fineboy (NRP) ",,,,,,3
"KIEH, JR., George Klay (NDM) ",,,,1,"REEVES, Hilary Yhrakehmenn (LP) ",,15,,"Valid Votes: ",,,,,192
"KORTO, Joseph D. Z. (LERP) ",,,,0,"REEVES, Lee Pennalton (CDC) ",,12,,"Invalid Votes: ",,,,,12
