"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",,,,,,,"Males: 43.4% Age 28-37: 24.9% Females: 56.6% Age 38-47: 14.5% ","Age 58-67: Age 68+: ",,,"8.6%6.4%",,,
,,,,"Senate ",,,"House of Representatives",,,,,,,
"President and Vice-President ",,,,"Grand Cape Mount ",,,"Grand Cape Mount, Electoral District 3",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,"4 BONDOKAI, III, J. Siafa (NDPL) ","BONDOKAI, III, J. Siafa (NDPL) ",,8,"FAHNBULLEH, Ennish Lamie (UP) ",,,,,,10,
"BRUMSKINE, Charles Walker (LP) ",,,"20 DAVID, Mambu George (UP) ","DAVID, Mambu George (UP) ",,13,"KIAHON, Clarence C. (LDP) ",,,,,,9,
"CONNEH, Sekou Damate (PRODEM) ",,,"1 FAHNBULLEH, Ma-John T. (LP) ","FAHNBULLEH, Ma-John T. (LP) ",,24,"KIAZOLU, Mohammed Abdurahman (NPP) ",,,,,,25,
"DIVINE, SR., Samuel Raymond (Ind) ",,,"0 FREEMAN, Arthur Bamoley (LDP) ","FREEMAN, Arthur Bamoley (LDP) ",,11,"MOHAMMED, J. Dinne (NRP) ",,,,,,9,
"FARHAT, David M. (FDP) ",,,"2 GBANA, Edison T. Vaanii (LP) ","GBANA, Edison T. Vaanii (LP) ",,14,"SMITH, Oliver Siafa (CDC) ",,,,,,5,
"JALLAH, Armah Zolu (NPL) ",,,"0 GRAY, M. Kdaiia (CDC) ","GRAY, M. Kdaiia (CDC) ",,13,"SONII, Baindu  (LP) ",,,,,,11,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,"15 KAMARA, Jenneh M. (CDC) ","KAMARA, Jenneh M. (CDC) ",,7,"SONII, Mambu Mahamudu (Ind) ",,,,,,173,
"KIADII, George Momodu (NATVIPOL) ",,,"5 MASSALAY, Abel Momolu (NPP) ","MASSALAY, Abel Momolu (NPP) ",,213,"WARE, SR., Mohammed Abraham (COTOL) ",,,,,,65,
"KIEH, JR., George Klay (NDM) ",,,"0 MOMO, James Kormah (NPP) ","MOMO, James Kormah (NPP) ",,38,"ZOLUDUA, SR., Edwin Boakai (ULD) ",,,,,,19,
"KORTO, Joseph D. Z. (LERP) ",,,"0 PAASEWE, Varney  (COTOL) ","PAASEWE, Varney  (COTOL) ",,88,"Valid Votes: ",,,,,,326,
