"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,22,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,12,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,80,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,188,,,,,,,,,,
,"Invalid Votes: ",,,2,,,,,,,,,,
,"Total Votes: ",,,190,,,,,,,,,,
"Precinct: 27005 ","Polling Place: ",1,,,,,,"Total: 258 ","Age 18-27: 27.5% ","Age 48-57: ",,,"10.5%",
"Gortoken Tow n Hall, Gortiken, Maryland ",,,,,,,,"Males: 50.8% Females: 49.2% ","Age 28-37: 27.9% Age 38-47: 16.3% ","Age 58-67: Age 68+: ",,,"13.6%4.3%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Maryland ",,"Maryland, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,0,"BALLOUT, JR., John Akel (UP) ",,0,"DENNIS, Sophia Diode (LP) ",,,,,,0
"BRUMSKINE, Charles Walker (LP) ",,,,2,"BEDELL, Anthony S. Wloflo (NDPL) ",,1,"SAYDEE, David Gwiah (APD) ",,,,,,215
"CONNEH, Sekou Damate (PRODEM) ",,,,1,"BREWER, JR., Robert Alexandeer (NDPL) ",,0,"SMITH, Solomon Saide Nyemah (NPP) ",,,,,,2
"DIVINE, SR., Samuel Raymond (Ind) ",,,,1,"CLARK, Wilfred Ernest (COTOL) ",,1,"WAH, G. Glomah (UP) ",,,,,,1
"FARHAT, David M. (FDP) ",,,,0,"CLARK-WAH, Theodosia Minikon (APD) ",,0,"WALLACE, Adolphus G. (CDC) ",,,,,,1
"JALLAH, Armah Zolu (NPL) ",,,,0,"COX, SR., James Lamark (LP) ",,1,"WILSON, Ben J. (COTOL) ",,,,,,2
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,9,"FOLEE, Eric Deiojue Kitue (CDC) ",,1,,"Valid Votes: ",,,,,221
"KIADII, George Momodu (NATVIPOL) ",,,,0,"GOE, Mason Chumue (APD) ",,177,,"Invalid Votes: ",,,,,1
"KIEH, JR., George Klay (NDM) ",,,,0,"HUTCHINS, Alexander Mcknight (RULP) ",,0,,"Total Votes: ",,,,,222
"KORTO, Joseph D. Z. (LERP) ",,,,0,"JEFFY, Paul R. (LP) ",,148,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"MUSU-SCOTT, Gloria Maya (UP) ",,0,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"NEUFVILLE, E. Danny (CDC) ",,1,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,1,"RAGLAND, Willie Dalleh (COTOL) ",,0,,,,,,,
"MORLU, John Sembe (UDA) ",,,,1,"TOOMEY, J. Kla (NPP) ",,0,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,,"Valid Votes: ",330,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,18,,"Invalid Ballots: ",4,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,28,,"Valid Votes + Invalid Ballots: ",334,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,0,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,44,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,5,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,111,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,221,,,,,,,,,,
,"Invalid Votes: ",,,2,,,,,,,,,,
,"Total Votes: ",,,223,,,,,,,,,,
"Precinct: 27006 ","Polling Place: ",1,,,,,,"Total: 40 ","Age 18-27: 55.0% ","Age 48-57: ",,,"10.0%",
"Gbeaken Tow n Hall, Gbeaken, Maryland ",,,,,,,,"Males: 55.0% Females: 45.0% ","Age 28-37: 12.5% Age 38-47: 10.0% ","Age 58-67: Age 68+: ",,,"5.0%7.5%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Maryland ",,"Maryland, Electoral District 1",,,,,,
"Candidate ",,,"Votes ",,"Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,0,,"BALLOUT, JR., John Akel (UP) ",,0,"DENNIS, Sophia Diode (LP) ",,,,,,0
"BRUMSKINE, Charles Walker (LP) ",,,0,,"BEDELL, Anthony S. Wloflo (NDPL) ",,0,"SAYDEE, David Gwiah (APD) ",,,,,,58
"CONNEH, Sekou Damate (PRODEM) ",,,0,,"BREWER, JR., Robert Alexandeer (NDPL) ",,0,"SMITH, Solomon Saide Nyemah (NPP) ",,,,,,0
"DIVINE, SR., Samuel Raymond (Ind) ",,,0,,"CLARK, Wilfred Ernest (COTOL) ",,0,"WAH, G. Glomah (UP) ",,,,,,0
"FARHAT, David M. (FDP) ",,,0,,"CLARK-WAH, Theodosia Minikon (APD) ",,0,"WALLACE, Adolphus G. (CDC) ",,,,,,2
"JALLAH, Armah Zolu (NPL) ",,,0,,"COX, SR., James Lamark (LP) ",,0,"WILSON, Ben J. (COTOL) ",,,,,,0
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,9,,"FOLEE, Eric Deiojue Kitue (CDC) ",,2,,"Valid Votes: ",,,,,60
"KIADII, George Momodu (NATVIPOL) ",,,0,,"GOE, Mason Chumue (APD) ",,59,,"Invalid Votes: ",,,,,0
"KIEH, JR., George Klay (NDM) ",,,0,,"HUTCHINS, Alexander Mcknight (RULP) ",,0,,"Total Votes: ",,,,,60
"KORTO, Joseph D. Z. (LERP) ",,,0,,"JEFFY, Paul R. (LP) ",,61,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,0,,"MUSU-SCOTT, Gloria Maya (UP) ",,0,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,,"NEUFVILLE, E. Danny (CDC) ",,0,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,0,,"RAGLAND, Willie Dalleh (COTOL) ",,0,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,,"TOOMEY, J. Kla (NPP) ",,0,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,,"Valid Votes: ",122,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,7,,,"Invalid Ballots: ",1,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,1,,,"Valid Votes + Invalid Ballots: ",123,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,7,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,6,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,30,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,60,,,,,,,,,,,
,"Invalid Votes: ",,2,,,,,,,,,,,
,"Total Votes: ",,62,,,,,,,,,,,
"Precinct: 27007 ","Polling Place: ",1,,,,,,"Total: 411 ","Age 18-27: 32.6% ","Age 48-57: ",,,"8.3%",
"Cavalla Tow n Hall, Cavalla, Maryland ",,,,,,,,"Males: 52.1% Females: 47.9% ","Age 28-37: 21.9% Age 38-47: 14.8% ","Age 58-67: Age 68+: ",,,"10.9%11.4%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Maryland ",,"Maryland, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,4,"BALLOUT, JR., John Akel (UP) ",,26,"DENNIS, Sophia Diode (LP) ",,,,,,3
"BRUMSKINE, Charles Walker (LP) ",,,,14,"BEDELL, Anthony S. Wloflo (NDPL) ",,2,"SAYDEE, David Gwiah (APD) ",,,,,,34
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"BREWER, JR., Robert Alexandeer (NDPL) ",,2,"SMITH, Solomon Saide Nyemah (NPP) ",,,,,,1
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"CLARK, Wilfred Ernest (COTOL) ",,5,"WAH, G. Glomah (UP) ",,,,,,5
"FARHAT, David M. (FDP) ",,,,0,"CLARK-WAH, Theodosia Minikon (APD) ",,4,"WALLACE, Adolphus G. (CDC) ",,,,,,241
"JALLAH, Armah Zolu (NPL) ",,,,0,"COX, SR., James Lamark (LP) ",,10,"WILSON, Ben J. (COTOL) ",,,,,,38
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,104,"FOLEE, Eric Deiojue Kitue (CDC) ",,8,,"Valid Votes: ",,,,,322
"KIADII, George Momodu (NATVIPOL) ",,,,1,"GOE, Mason Chumue (APD) ",,237,,"Invalid Votes: ",,,,,1
"KIEH, JR., George Klay (NDM) ",,,,0,"HUTCHINS, Alexander Mcknight (RULP) ",,7,,"Total Votes: ",,,,,323
"KORTO, Joseph D. Z. (LERP) ",,,,0,"JEFFY, Paul R. (LP) ",,273,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"MUSU-SCOTT, Gloria Maya (UP) ",,14,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"NEUFVILLE, E. Danny (CDC) ",,6,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,0,"RAGLAND, Willie Dalleh (COTOL) ",,12,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"TOOMEY, J. Kla (NPP) ",,2,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,2,,"Valid Votes: ",608,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,19,,"Invalid Ballots: ",3,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,2,,"Valid Votes + Invalid Ballots: ",611,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,1,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,36,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,42,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,97,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,2,,,,,,,,,,
,"Valid Votes: ",,,324,,,,,,,,,,
,"Invalid Votes: ",,,3,,,,,,,,,,
,"Total Votes: ",,,327,,,,,,,,,,
"Precinct: 27008 ","Polling Place: ",1,,,,,,"Total: 146 ","Age 18-27: 28.1% ","Age 48-57: ",,,"11.0%",
"Gutuken Tow n Hall, Wutuken, Maryland ",,,,,,,,"Males: 45.2% Females: 54.8% ","Age 28-37: 21.2% Age 38-47: 19.2% ","Age 58-67: Age 68+: ",,,"11.6%8.9%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Maryland ",,"Maryland, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,0,"BALLOUT, JR., John Akel (UP) ",,0,"DENNIS, Sophia Diode (LP) ",,,,,,2
"BRUMSKINE, Charles Walker (LP) ",,,,26,"BEDELL, Anthony S. Wloflo (NDPL) ",,0,"SAYDEE, David Gwiah (APD) ",,,,,,42
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"BREWER, JR., Robert Alexandeer (NDPL) ",,0,"SMITH, Solomon Saide Nyemah (NPP) ",,,,,,1
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"CLARK, Wilfred Ernest (COTOL) ",,0,"WAH, G. Glomah (UP) ",,,,,,0
"FARHAT, David M. (FDP) ",,,,0,"CLARK-WAH, Theodosia Minikon (APD) ",,0,"WALLACE, Adolphus G. (CDC) ",,,,,,26
"JALLAH, Armah Zolu (NPL) ",,,,1,"COX, SR., James Lamark (LP) ",,0,"WILSON, Ben J. (COTOL) ",,,,,,61
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,21,"FOLEE, Eric Deiojue Kitue (CDC) ",,0,,"Valid Votes: ",,,,,132
"KIADII, George Momodu (NATVIPOL) ",,,,0,"GOE, Mason Chumue (APD) ",,134,,"Invalid Votes: ",,,,,0
"KIEH, JR., George Klay (NDM) ",,,,0,"HUTCHINS, Alexander Mcknight (RULP) ",,1,,"Total Votes: ",,,,,132
"KORTO, Joseph D. Z. (LERP) ",,,,0,"JEFFY, Paul R. (LP) ",,132,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"MUSU-SCOTT, Gloria Maya (UP) ",,1,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"NEUFVILLE, E. Danny (CDC) ",,0,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,0,"RAGLAND, Willie Dalleh (COTOL) ",,0,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"TOOMEY, J. Kla (NPP) ",,0,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,,"Valid Votes: ",268,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,3,,"Invalid Ballots: ",0,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes + Invalid Ballots: ",268,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,1,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,5,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,57,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,21,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,135,,,,,,,,,,
,"Invalid Votes: ",,,0,,,,,,,,,,
,"Total Votes: ",,,135,,,,,,,,,,
"Precinct: 27009 ","Polling Place: ",1,,,,,"Total: 150 ","Age 18-27: 33.3% ","Age 48-57: ",,,"10.0%",,
"James T. hinnen Elementary School, Sarjeloken, Maryland ",,,,,,,"Males: 54.7% Females: 45.3% ","Age 28-37: 29.3% Age 38-47: 9.3% ","Age 58-67: Age 68+: ",,,"8.7%9.3%",,
,,,,,"Senate ",,,"House of Representatives",,,,,,
