"CONNEH, Sekou Damate (PRODEM) ","","",1 ,"KONNEH, SR., Siafa Varney Gaindeh (NPP) ","",33 ,"FALLAH, Yassah Gbissi-K (COTOL) ","","","","","",41
"DIVINE, SR., Samuel Raymond (Ind) ","","",1 ,"MANNAH, SR., Isaac Freeman (COTOL) ","",46 ,"MCCAY, Joseph Botoe (CDC) ","","","","","",29
"FARHAT, David M. (FDP) ","","",2 ,"MENDS-COLE, Edward Sumo (LP) ","",50 ,"SANYON, Filiman Sekou (NRP) ","","","","","",7
"JALLAH, Armah Zolu (NPL) ","","",23 ,"NAATEHN, SR., Daniel Flomo (UP) ","",78 ,"SARNOR, Armah  (LP) ","","","","","",77
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",170 ,"SEH, William M. (COTOL) ","",75 ,"SARNOR, Momo Gornah (UP) ","","","","","",69
"KIADII, George Momodu (NATVIPOL) ","","",4 ,"TARNUE, SR., Harris Fomba (NDPL) ","",89 ,"",Valid Votes: ,"","","","",327
"KIEH, JR., George Klay (NDM) ","","",0 ,"TAWEH, Joseph Jarleakai (UP) ","",42 ,"",Invalid Votes: ,"","","","",10
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"TORMETIE, Samuel Sumo (NRP) ","",96 ,"",Total Votes: ,"","","","",337
"KPOTO, Robert Momo (ULD) ","","",1 ,"WESSO, A. Kanie (Ind) ","",26,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",4 ,"",Valid Votes: ,607,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",5 ,"",Invalid Ballots: ,2,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"",Valid Votes + Invalid Ballots: ,609,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",2,"","","","","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",20,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",1,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",0,"","","","","","","","","",""
