"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,40,"KAMARA, Massaquoi Morlu (ULD) ",,8,,"Valid Votes: ",,,,,306
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KANDAKAI, Lwopu Gawee (LP) ",,4,,"Invalid Votes: ",,,,,9
"KIEH, JR., George Klay (NDM) ",,,,1,"KANNEH, Fomba  (ALCOP) ",,9,,"Total Votes: ",,,,,315
"KORTO, Joseph D. Z. (LERP) ",,,,1,"KARBAR, Josephus M. (PRODEM) ",,8,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,1,"KOKOLO, Flomo Yanquiwolo (APD) ",,3,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,2,"KPARKILLEN, Stanely Sumo (NPP) ",,202,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,16,"KUPEE, Sumo G. (COTOL) ",,52,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"NGAIMA, SR., Samuel Kpehe (NDPL) ",,39,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,2,"SORSOR, SR., Kollie Massayan (LP) ",,9,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,26,"TALI, Phillip Saa (COTOL) ",,5,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",358,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,2,,"Invalid Ballots: ",7,,,,,,,
