"TOR-THOMPSON, Margaret J. (FAPL) ","","","",0 ,"",Valid Votes + Invalid Ballots: ,361,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",1,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",0,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",15,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",0,"","","","","","","","","",""
"",Valid Votes: ,"","",253,"","","","","","","","","",""
"",Invalid Votes: ,"","",2,"","","","","","","","","",""
"",Total Votes: ,"","",255,"","","","","","","","","",""
Precinct: 18004 ,Polling Place: ,2 ,"","","","","",Total: 356 ,Age 18-27: 35.1% ,Age 48-57: ,"","",11.5%,""
"Nifu public school, Nifu, Grand Kru ","","","","","","","",Males: 51.7% Females: 48.3% ,Age 28-37: 21.3% Age 38-47: 17.1% ,Age 58-67: Age 68+: ,"","",9.6%5.1%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Grand Kru ,"","Grand Kru, Electoral District 1","","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",0 ,"BARTEKWA, Numene T.H. (COTOL) ","",0 ,"BOYE, Vincent B. (LP) ","","","","","",0
"BRUMSKINE, Charles Walker (LP) ","","","",0 ,"BARTU, Amos Yonkon (APD) ","",18 ,"BROHDONYEN, SR., Proftehneseo P. (NDPL) ","","","","","",0
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"BEDELL, SR., W. Frey Augustus (Ind) ","",1 ,"KIPI, Abraham Kipi (COTOL) ","","","","","",79
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOE, J. Sawoloday (LP) ","",18 ,"KOFA, SR., Stephen Gbeh (CDC) ","","","","","",6
"FARHAT, David M. (FDP) ","","","",0 ,"JARGBA, Thompson N. (CDC) ","",0 ,"SARKOR, Isaiah Moboe (UP) ","","","","","",173
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"JOHNSON, Tiahkwee Weah (UP) ","",4 ,"SLOPADOE, Gbenimah Balu (APD) ","","","","","",15
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",1 ,"KAYDOR, SR., Victor E. Dweh (NDM) ","",0 ,"TOE, William Buwolo (NPP) ","","","","","",12
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KYNE, Samuel E. K. (LP) ","",1 ,"",Valid Votes: ,"","","","",285
"KIEH, JR., George Klay (NDM) ","","","",0 ,"NELSON, Blamoh  (APD) ","",234 ,"",Invalid Votes: ,"","","","",1
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"NIMELY, Thomas Nah (NPP) ","",23 ,"",Total Votes: ,"","","","",286
"KPOTO, Robert Momo (ULD) ","","","",0 ,"SHERMAN, Beatrice Nimene (CDC) ","",61,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"SIEH, SR., D. Nyandeh (NDPL) ","",1,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",1 ,"SNEH, Rosalind Segbe Tonne (UP) ","",13,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WEAH, Zaw-Dioh  (Ind) ","",1,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",0 ,"WOTORSON, Cletus Segbe (COTOL) ","",38,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",0 ,"",Valid Votes: ,413,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",264 ,"",Invalid Ballots: ,3,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",0 ,"",Valid Votes + Invalid Ballots: ,416,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",1,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",12,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",3,"","","","","","","","","",""
"",Valid Votes: ,"","",282,"","","","","","","","","",""
"",Invalid Votes: ,"","",4,"","","","","","","","","",""
"",Total Votes: ,"","",286,"","","","","","","","","",""
Precinct: 18005 ,Polling Place: ,1 ,"","","","","",Total: 224 ,Age 18-27: 42.0% ,Age 48-57: ,"","",9.8%,""
"Neroh oublic school, Neroh, Grand Kru ","","","","","","","",Males: 48.7% Females: 51.3% ,Age 28-37: 25.0% Age 38-47: 13.8% ,Age 58-67: Age 68+: ,"","",6.3%3.1%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Grand Kru ,"","Grand Kru, Electoral District 1","","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",0 ,"BARTEKWA, Numene T.H. (COTOL) ","",0 ,"BOYE, Vincent B. (LP) ","","","","","",0
"BRUMSKINE, Charles Walker (LP) ","","","",0 ,"BARTU, Amos Yonkon (APD) ","",5 ,"BROHDONYEN, SR., Proftehneseo P. (NDPL) ","","","","","",0
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"BEDELL, SR., W. Frey Augustus (Ind) ","",1 ,"KIPI, Abraham Kipi (COTOL) ","","","","","",0
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOE, J. Sawoloday (LP) ","",16 ,"KOFA, SR., Stephen Gbeh (CDC) ","","","","","",3
"FARHAT, David M. (FDP) ","","","",0 ,"JARGBA, Thompson N. (CDC) ","",4 ,"SARKOR, Isaiah Moboe (UP) ","","","","","",36
