"Precinct: 21032 ","Polling Place ",1,,,"Precinct: 21032 ","Polling Place ",2,,,"Precinct: 21033 ","Polling Place ",1,,
"Woumai Public School, Woumai ",,,,,"Woumai Public School, Woumai ",,,,,"Luyema Tow n Hall , Luyeama",,,,
"Registered Voters: ",344,,,,"Registered Voters: ",389,,,,"Registered Voters: ",340,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,86,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,94,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,152
"WEAH, George Manneh (CDC) ",,,,69,"WEAH, George Manneh (CDC) ",,,,84,"WEAH, George Manneh (CDC) ",,,,28
,"Valid Votes: ",,,155,,"Valid Votes: ",,,178,,"Valid Votes: ",,,180
,"Invalid Votes: ",,,20,,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,6
,"Total Votes: ",,,175,,"Total Votes: ",,,192,,"Total Votes: ",,,186
"Precinct: 21034 ","Polling Place ",1,,,"Precinct: 21035 ","Polling Place ",1,,,"Precinct: 21036 ","Polling Place ",1,,
"Barziw an Tow n Hall, Barziw an ",,,,,"Wakesu Tow n Hall, Wakesu ",,,,,"Kpasigia Tow n Hall, Kpasigizizia",,,,
"Registered Voters: ",397,,,,"Registered Voters: ",364,,,,"Registered Voters: ",488,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,185,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,252,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,264
"WEAH, George Manneh (CDC) ",,,,53,"WEAH, George Manneh (CDC) ",,,,43,"WEAH, George Manneh (CDC) ",,,,44
,"Valid Votes: ",,,238,,"Valid Votes: ",,,295,,"Valid Votes: ",,,308
,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,1
,"Total Votes: ",,,250,,"Total Votes: ",,,305,,"Total Votes: ",,,309
"Precinct: 21037 ","Polling Place ",1,,,"Precinct: 21038 ","Polling Place ",1,,,"Precinct: 21039 ","Polling Place ",1,,
"Kabata Tow n Hall, Kabata ",,,,,"Barw ahn Tow n Hall, Barw ahn ",,,,,"Lutizu Tow n Hall, Lutizu",,,,
"Registered Voters: ",66,,,,"Registered Voters: ",121,,,,"Registered Voters: ",231,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,18,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,114
"WEAH, George Manneh (CDC) ",,,,26,"WEAH, George Manneh (CDC) ",,,,57,"WEAH, George Manneh (CDC) ",,,,6
,"Valid Votes: ",,,44,,"Valid Votes: ",,,96,,"Valid Votes: ",,,120
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,1
,"Total Votes: ",,,45,,"Total Votes: ",,,98,,"Total Votes: ",,,121
"Precinct: 21040 ","Polling Place ",1,,,"Precinct: 21041 ","Polling Place ",1,,,"Precinct: 21042 ","Polling Place ",1,,
"Gbalakpalazu Tow n Hall, Gbalakpalazu ",,,,,"Jhon-public School, John-ta ",,,,,"Karza Tow n Hall, Karza",,,,
"Registered Voters: ",177,,,,"Registered Voters: ",581,,,,"Registered Voters: ",125,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,75,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,191,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,98
"WEAH, George Manneh (CDC) ",,,,17,"WEAH, George Manneh (CDC) ",,,,55,"WEAH, George Manneh (CDC) ",,,,6
,"Valid Votes: ",,,92,,"Valid Votes: ",,,246,,"Valid Votes: ",,,104
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,0
,"Total Votes: ",,,96,,"Total Votes: ",,,251,,"Total Votes: ",,,104
"Precinct: 21043 ","Polling Place ",1,,,"Precinct: 21044 ","Polling Place ",1,,,"Precinct: 21045 ","Polling Place ",1,,
"Wobanamai Tow n Hall, Wobanyamai ",,,,,"Kalasezia Tow n Hall, Kalasezia ",,,,,"Kpandemai Public School, Kpandemai",,,,
"Registered Voters: ",73,,,,"Registered Voters: ",60,,,,"Registered Voters: ",318,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,64,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,44,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,37
"WEAH, George Manneh (CDC) ",,,,2,"WEAH, George Manneh (CDC) ",,,,3,"WEAH, George Manneh (CDC) ",,,,79
,"Valid Votes: ",,,66,,"Valid Votes: ",,,47,,"Valid Votes: ",,,116
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,3
,"Total Votes: ",,,69,,"Total Votes: ",,,47,,"Total Votes: ",,,119
"Precinct: 21046 ","Polling Place ",1,,,"Precinct: 21047 ","Polling Place ",1,,,"Precinct: 21048 ","Polling Place ",1,,
"Biteba Tow n Hall, Biteba ",,,,,"Lisco Tow n Hall, Lisco/alabama Camp ",,,,,"David Selma-ta Public School, David Selma-ta",,,,
"Registered Voters: ",77,,,,"Registered Voters: ",105,,,,"Registered Voters: ",428,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,11,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,15,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,154
"WEAH, George Manneh (CDC) ",,,,47,"WEAH, George Manneh (CDC) ",,,,43,"WEAH, George Manneh (CDC) ",,,,28
,"Valid Votes: ",,,58,,"Valid Votes: ",,,58,,"Valid Votes: ",,,182
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,5
,"Total Votes: ",,,58,,"Total Votes: ",,,60,,"Total Votes: ",,,187
"Precinct: 21049 ","Polling Place ",1,,,"Precinct: 21050 ","Polling Place ",1,,,"Precinct: 21051 ","Polling Place ",1,,
"Tenebu Public School, Tenebu ",,,,,"Dayzeba Tow n Hall, Dayzebah ",,,,,"Voinjama F.p Mission School, Voinjama City",,,,
"Registered Voters: ",386,,,,"Registered Voters: ",186,,,,"Registered Voters: ",561,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,110,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,37,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,102
"WEAH, George Manneh (CDC) ",,,,58,"WEAH, George Manneh (CDC) ",,,,38,"WEAH, George Manneh (CDC) ",,,,166
,"Valid Votes: ",,,168,,"Valid Votes: ",,,75,,"Valid Votes: ",,,268
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,12
,"Total Votes: ",,,178,,"Total Votes: ",,,79,,"Total Votes: ",,,280
