"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,42,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,141,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,12
"WEAH, George Manneh (CDC) ",,,,42,"WEAH, George Manneh (CDC) ",,,,6,"WEAH, George Manneh (CDC) ",,,,13
,"Valid Votes: ",,,84,,"Valid Votes: ",,,147,,"Valid Votes: ",,,25
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0
,"Total Votes: ",,,92,,"Total Votes: ",,,147,,"Total Votes: ",,,25
"Precinct: 09054 ","Polling Place ",1,,,"Precinct: 09056 ","Polling Place ",1,,,"Precinct: 09057 ","Polling Place ",1,,
"Palava Hut, Noyea Tow n ",,,,,"Palava Hut, Zammie's Tow n ",,,,,"Palava Hut, Juah Tow n",,,,
"Registered Voters: ",118,,,,"Registered Voters: ",266,,,,"Registered Voters: ",422,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,81,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,19,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,81
"WEAH, George Manneh (CDC) ",,,,4,"WEAH, George Manneh (CDC) ",,,,20,"WEAH, George Manneh (CDC) ",,,,95
,"Valid Votes: ",,,85,,"Valid Votes: ",,,39,,"Valid Votes: ",,,176
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,35
,"Total Votes: ",,,87,,"Total Votes: ",,,48,,"Total Votes: ",,,211
"Precinct: 09058 ","Polling Place ",1,,,"Precinct: 09059 ","Polling Place ",1,,,"Precinct: 09060 ","Polling Place ",1,,
"Palava Hut, Dennis Tow n ",,,,,"Palava Hut, Bon's Tow n ",,,,,"Palava Hut, Albert Tow n",,,,
"Registered Voters: ",359,,,,"Registered Voters: ",322,,,,"Registered Voters: ",266,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
