INFO 2015-03-20 03:04:37,720: Saved Bomi, Barmon Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03012r.html
INFO 2015-03-20 03:04:38,815: Saved Bomi, Golodee Gayla Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03013r.html
INFO 2015-03-20 03:04:40,913: Saved Bomi, Gbargbah Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03014r.html
INFO 2015-03-20 03:04:42,019: Saved Bomi, Tulaymu Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03015r.html
INFO 2015-03-20 03:04:44,122: Saved Bomi, Demeh Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03016r.html
INFO 2015-03-20 03:04:46,216: Saved Bomi, Bogbeh Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03017r.html
INFO 2015-03-20 03:04:47,309: Saved Bomi, Bola Town Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03018r.html
INFO 2015-03-20 03:04:49,404: Saved Bomi, Bonor Town Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03019r.html
INFO 2015-03-20 03:04:50,499: Saved Bomi, Bowien Town Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03020r.html
INFO 2015-03-20 03:04:51,603: Saved Bomi, Jeon School (round 2): http://www.necliberia.org/results2011/pp_results/03021r.html
INFO 2015-03-20 03:04:53,697: Saved Bomi, Dagbweh Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03022r.html
INFO 2015-03-20 03:04:55,802: Saved Bomi, Boiling Camp Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03023r.html
INFO 2015-03-20 03:04:56,895: Saved Bomi, Gayah Hills Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03024r.html
INFO 2015-03-20 03:04:57,976: Saved Bomi, Gbaigbon Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03025r.html
INFO 2015-03-20 03:04:59,066: Saved Bomi, Goghen Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03026r.html
INFO 2015-03-20 03:05:00,156: Saved Bomi, Jawajeh Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03027r.html
INFO 2015-03-20 03:05:02,236: Saved Bomi, Gohnzipo Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03028r.html
INFO 2015-03-20 03:05:04,338: Saved Bomi, Golodee Lassana Public School (round 2): http://www.necliberia.org/results2011/pp_results/03029r.html
INFO 2015-03-20 03:05:05,418: Saved Bomi, Gonjeh Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03030r.html
INFO 2015-03-20 03:05:07,508: Saved Bomi, Guie Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03031r.html
INFO 2015-03-20 03:05:09,602: Saved Bomi, Managbokai Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03032r.html
INFO 2015-03-20 03:05:11,692: Saved Bomi, Domagbamatina palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03033r.html
INFO 2015-03-20 03:05:12,785: Saved Bomi, Jenneh #3 Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03034r.html
INFO 2015-03-20 03:05:13,884: Saved Bomi, FefehTown Public School (round 2): http://www.necliberia.org/results2011/pp_results/03035r.html
INFO 2015-03-20 03:05:14,975: Saved Bomi, Geveh Fahnsee Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03036r.html
INFO 2015-03-20 03:05:16,069: Saved Bomi, Kowadee Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03037r.html
INFO 2015-03-20 03:05:18,172: Saved Bomi, Gowein Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03038r.html
INFO 2015-03-20 03:05:20,264: Saved Bomi, Gbakendu Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03039r.html
INFO 2015-03-20 03:05:22,357: Saved Bomi, Malema Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03040r.html
INFO 2015-03-20 03:05:23,449: Saved Bomi, Manjama Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03041r.html
INFO 2015-03-20 03:05:24,540: Saved Bomi, Sackie Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03042r.html
INFO 2015-03-20 03:05:25,637: Saved Bomi, Klay Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03043r.html
INFO 2015-03-20 03:05:26,730: Saved Bomi, Government Farm Klay Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03044r.html
INFO 2015-03-20 03:05:27,825: Saved Bomi, Vortor Town Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03045r.html
INFO 2015-03-20 03:05:28,917: Saved Bomi, Weajor Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03046r.html
INFO 2015-03-20 03:05:30,009: Saved Bomi, Red Hill Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03047r.html
INFO 2015-03-20 03:05:32,100: Saved Bomi, Beajojoâs Clinic (round 2): http://www.necliberia.org/results2011/pp_results/03048r.html
INFO 2015-03-20 03:05:33,193: Saved Bomi, Zamian Town Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03049r.html
INFO 2015-03-20 03:05:34,284: Saved Bomi, Zohnbaimon Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03050r.html
INFO 2015-03-20 03:05:35,376: Saved Bomi, Zordee Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03051r.html
INFO 2015-03-20 03:05:36,481: Saved Bomi, Monnoh Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03052r.html
INFO 2015-03-20 03:05:37,570: Saved Bomi, Quassia Town Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03053r.html
INFO 2015-03-20 03:05:38,663: Saved Bomi, Big Geveh Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03054r.html
INFO 2015-03-20 03:05:40,758: Saved Bomi, Gbai Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03055r.html
INFO 2015-03-20 03:05:41,854: Saved Bomi, Gbao Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03056r.html
INFO 2015-03-20 03:05:42,959: Saved Bomi, Gbojah Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03057r.html
INFO 2015-03-20 03:05:45,049: Saved Bomi, Kpakla Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03058r.html
INFO 2015-03-20 03:05:47,141: Saved Bomi, Maloma Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03059r.html
INFO 2015-03-20 03:05:48,237: Saved Bomi, Mecca Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03060r.html
INFO 2015-03-20 03:05:50,329: Saved Bomi, Moila Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03061r.html
INFO 2015-03-20 03:05:52,436: Saved Bomi, Sonodee Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03062r.html
INFO 2015-03-20 03:05:53,531: Saved Bomi, Alasala Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03063r.html
INFO 2015-03-20 03:05:54,636: Saved Bomi, Suehn Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03064r.html
INFO 2015-03-20 03:05:55,731: Saved Bomi, Mulbah Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03065r.html
INFO 2015-03-20 03:05:57,822: Saved Bomi, Zuwah Town Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03066r.html
INFO 2015-03-20 03:05:58,915: Saved Bomi, Weakama Public School (round 2): http://www.necliberia.org/results2011/pp_results/03067r.html
INFO 2015-03-20 03:06:00,035: Saved Bomi, Jimina A. Wilson Public School (round 2): http://www.necliberia.org/results2011/pp_results/03068r.html
INFO 2015-03-20 03:06:02,129: Saved Bomi, Nyeila English & Arabic School (round 2): http://www.necliberia.org/results2011/pp_results/03069r.html
INFO 2015-03-20 03:06:04,221: Saved Bomi, Joseph Town Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03070r.html
INFO 2015-03-20 03:06:05,319: Saved Bomi, C. H. Dewey High School (round 2): http://www.necliberia.org/results2011/pp_results/03071r.html
INFO 2015-03-20 03:06:06,409: Saved Bomi, Bomi Jr. High School (round 2): http://www.necliberia.org/results2011/pp_results/03072r.html
INFO 2015-03-20 03:06:08,506: Saved Bomi, Yomo Town Public School (round 2): http://www.necliberia.org/results2011/pp_results/03073r.html
INFO 2015-03-20 03:06:09,603: Saved Bomi, Administrative Building (round 2): http://www.necliberia.org/results2011/pp_results/03074r.html
INFO 2015-03-20 03:06:10,698: Saved Bomi, Court House, Moses Vincent Compound (round 2): http://www.necliberia.org/results2011/pp_results/03075r.html
INFO 2015-03-20 03:06:12,793: Saved Bomi, Vai Town Cinema (round 2): http://www.necliberia.org/results2011/pp_results/03076r.html
INFO 2015-03-20 03:06:17,167: Saved Bong, Baila Public School (round 1): http://www.necliberia.org/results2011/pp_results/06001.html
INFO 2015-03-20 03:06:19,336: Saved Bong, Sarworlor Public School (round 1): http://www.necliberia.org/results2011/pp_results/06002.html
INFO 2015-03-20 03:06:21,442: Saved Bong, Blameyea Public School (round 1): http://www.necliberia.org/results2011/pp_results/06003.html
INFO 2015-03-20 03:06:23,575: Saved Bong, Belefanai Adm. Building (round 1): http://www.necliberia.org/results2011/pp_results/06004.html
INFO 2015-03-20 03:06:24,702: Saved Bong, Beletanda Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06005.html
INFO 2015-03-20 03:06:25,829: Saved Bong, Beletanta Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06006.html
INFO 2015-03-20 03:06:27,952: Saved Bong, Tolomanai Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06007.html
INFO 2015-03-20 03:06:29,076: Saved Bong, Bellemu Public School (round 1): http://www.necliberia.org/results2011/pp_results/06008.html
INFO 2015-03-20 03:06:30,212: Saved Bong, Boryormah Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06009.html
INFO 2015-03-20 03:06:31,355: Saved Bong, St. Paul catholic School (round 1): http://www.necliberia.org/results2011/pp_results/06010.html
INFO 2015-03-20 03:06:33,521: Saved Bong, Borlarmu Public School (round 1): http://www.necliberia.org/results2011/pp_results/06011.html
INFO 2015-03-20 03:06:35,659: Saved Bong, Boudala Public School (round 1): http://www.necliberia.org/results2011/pp_results/06012.html
INFO 2015-03-20 03:06:37,806: Saved Bong, Gleannasiasue palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06013.html
INFO 2015-03-20 03:06:39,951: Saved Bong, Duta Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/06014.html
INFO 2015-03-20 03:06:42,082: Saved Bong, Farvey Public School (round 1): http://www.necliberia.org/results2011/pp_results/06015.html
INFO 2015-03-20 03:06:43,216: Saved Bong, Juah Mannah Elem. School (round 1): http://www.necliberia.org/results2011/pp_results/06016.html
INFO 2015-03-20 03:06:44,401: Saved Bong, Flehla Public School (round 1): http://www.necliberia.org/results2011/pp_results/06017.html
INFO 2015-03-20 03:06:45,596: Saved Bong, Foequelleh Public School (round 1): http://www.necliberia.org/results2011/pp_results/06018.html
INFO 2015-03-20 03:06:47,748: Saved Bong, Gahnmue Public School (round 1): http://www.necliberia.org/results2011/pp_results/06019.html
INFO 2015-03-20 03:06:48,858: Saved Bong, Galai Public School (round 1): http://www.necliberia.org/results2011/pp_results/06020.html
INFO 2015-03-20 03:06:50,961: Saved Bong, Garwuquelleh Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06021.html
INFO 2015-03-20 03:06:52,067: Saved Bong, Garyea Public School (round 1): http://www.necliberia.org/results2011/pp_results/06022.html
INFO 2015-03-20 03:06:53,166: Saved Bong, Dweayeapolu Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06023.html
INFO 2015-03-20 03:06:54,291: Saved Bong, Land Mines Action Building (round 1): http://www.necliberia.org/results2011/pp_results/06024.html
INFO 2015-03-20 03:06:56,426: Saved Bong, Salala Clinic (round 1): http://www.necliberia.org/results2011/pp_results/06025.html
INFO 2015-03-20 03:06:58,539: Saved Bong, Martha Tubman School (round 1): http://www.necliberia.org/results2011/pp_results/06026.html
INFO 2015-03-20 03:06:59,671: Saved Bong, Teaslay Mission (round 1): http://www.necliberia.org/results2011/pp_results/06027.html
INFO 2015-03-20 03:07:01,815: Saved Bong, Tarsai Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06028.html
INFO 2015-03-20 03:07:02,938: Saved Bong, Gbamokollieta Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06029.html
INFO 2015-03-20 03:07:05,064: Saved Bong, Wumai Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06030.html
INFO 2015-03-20 03:07:06,200: Saved Bong, Naama Public School (round 1): http://www.necliberia.org/results2011/pp_results/06031.html
INFO 2015-03-20 03:07:07,343: Saved Bong, Gbansue Sulonmah Public School (round 1): http://www.necliberia.org/results2011/pp_results/06032.html
INFO 2015-03-20 03:07:09,488: Saved Bong, Gbalatuah Public School (round 1): http://www.necliberia.org/results2011/pp_results/06033.html
INFO 2015-03-20 03:07:11,603: Saved Bong, Feetuah Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06034.html
INFO 2015-03-20 03:07:12,750: Saved Bong, Gbaota Public School (round 1): http://www.necliberia.org/results2011/pp_results/06035.html
INFO 2015-03-20 03:07:13,896: Saved Bong, Gbarmue Public School (round 1): http://www.necliberia.org/results2011/pp_results/06036.html
INFO 2015-03-20 03:07:16,014: Saved Bong, Gbarnay Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06037.html
INFO 2015-03-20 03:07:18,125: Saved Bong, Gbelekpalah Public School (round 1): http://www.necliberia.org/results2011/pp_results/06038.html
INFO 2015-03-20 03:07:19,239: Saved Bong, Gbarnga Siaquelleh Public School (round 1): http://www.necliberia.org/results2011/pp_results/06039.html
INFO 2015-03-20 03:07:20,404: Saved Bong, Tumata Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/06040.html
INFO 2015-03-20 03:07:21,588: Saved Bong, David Fajue School (round 1): http://www.necliberia.org/results2011/pp_results/06041.html
