INFO 2015-03-20 16:01:31,682: Saved Lofa, Pasolahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21072.html
INFO 2015-03-20 16:01:32,839: Saved Lofa, Gondorlahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21073.html
INFO 2015-03-20 16:01:34,958: Saved Lofa, Kimbalahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21074.html
INFO 2015-03-20 16:01:37,058: Saved Lofa, Popalahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21075.html
INFO 2015-03-20 16:01:39,189: Saved Lofa, Salayea Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21076.html
INFO 2015-03-20 16:01:41,817: Saved Lofa, Tinsue Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21077.html
INFO 2015-03-20 16:01:42,924: Saved Lofa, Savalahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21078.html
INFO 2015-03-20 16:01:44,044: Saved Lofa, Kamatahum Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21079.html
INFO 2015-03-20 16:01:46,201: Saved Lofa, Sarkonedu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21080.html
INFO 2015-03-20 16:01:48,326: Saved Lofa, Sarkonedu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21081.html
INFO 2015-03-20 16:01:50,444: Saved Lofa, Kondadu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21082.html
INFO 2015-03-20 16:01:52,554: Saved Lofa, Sengar Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/21083.html
INFO 2015-03-20 16:01:53,792: Saved Lofa, Kolahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21084.html
INFO 2015-03-20 16:01:54,913: Saved Lofa, Kolahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21085.html
INFO 2015-03-20 16:01:57,062: Saved Lofa, Somalahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21086.html
INFO 2015-03-20 16:01:58,165: Saved Lofa, SucromuPublic School (round 1): http://www.necliberia.org/senate2014/pp_results/21087.html
INFO 2015-03-20 16:01:59,277: Saved Lofa, Samodu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21088.html
INFO 2015-03-20 16:02:00,373: Saved Lofa, Jarmulor Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21089.html
INFO 2015-03-20 16:02:02,456: Saved Lofa, Tailemai Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21090.html
INFO 2015-03-20 16:02:04,539: Saved Lofa, Gbanway Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21091.html
INFO 2015-03-20 16:02:05,641: Saved Lofa, Yarpuah Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21092.html
INFO 2015-03-20 16:02:06,746: Saved Lofa, Tawalahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21093.html
INFO 2015-03-20 16:02:08,873: Saved Lofa, Sammie Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21094.html
INFO 2015-03-20 16:02:09,988: Saved Lofa, Tobogizizu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21095.html
INFO 2015-03-20 16:02:12,137: Saved Lofa, Memolahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21096.html
INFO 2015-03-20 16:02:13,248: Saved Lofa, Seema Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21097.html
INFO 2015-03-20 16:02:14,366: Saved Lofa, Fulawahun Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/21098.html
INFO 2015-03-20 16:02:15,517: Saved Lofa, Jorpowahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21099.html
INFO 2015-03-20 16:02:17,640: Saved Lofa, Vahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21100.html
INFO 2015-03-20 16:02:18,785: Saved Lofa, Vezala Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21101.html
INFO 2015-03-20 16:02:20,944: Saved Lofa, Korlela Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21102.html
INFO 2015-03-20 16:02:23,127: Saved Lofa, Kanela Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21103.html
INFO 2015-03-20 16:02:25,246: Saved Lofa, Tussu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21104.html
